,48
Imagen,209661
Jugadores,"ROBINSON, B."
Team,QUIMSA
#,15.0
MIN,29.06
PTS,13.0
DEF REB,4.0
OFF REB,0.0
RT,4.0
AST,2.33
STL,0.67
TO,1.67
BLK,0.0
BLK REC,0.0
PF,1.67
PFR,5.0
EFF,13.33
2FGM,3.33
2FGA,6.33
3FGM,0.33
3FGA,4.0
FTM,5.33
FTA,7.0
FGM,3.67
FGA,10.33
RO%,0.0
RD%,0.18
AST %,0.14
USG %,0.25
PLAYS,15.08
PPP,0.86
FG %,0.36
FT %,0.76
2FG %,0.53
3FG %,0.08
TS %,0.48
EFG %,0.37
TO %,0.11
PPT1,0.76
PPT2,1.05
PPT3,0.25
F1 T1 Plays %,0.2
F2 T2 PLAYS %,0.42
F3 T3 PLAYS %,0.27
F4 PP PLAYS %,0.11
RTL %,0.52
PJ,3
